GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021300002,27,2544,LeBron James,1610612748,Miami Heat,1,8,46,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,97,107,1,0,20131029,MIA,CHI
Shot Chart Detail,0021300002,46,2544,LeBron James,1610612748,Miami Heat,1,7,0,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,108,173,1,0,20131029,MIA,CHI
Shot Chart Detail,0021300002,70,2544,LeBron James,1610612748,Miami Heat,1,4,6,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,20,-198,45,1,1,20131029,MIA,CHI
Shot Chart Detail,0021300002,124,2544,LeBron James,1610612748,Miami Heat,1,0,0,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,21,7,1,0,20131029,MIA,CHI
Shot Chart Detail,0021300002,207,2544,LeBron James,1610612748,Miami Heat,2,5,16,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,15,17,1,1,20131029,MIA,CHI
Shot Chart Detail,0021300002,222,2544,LeBron James,1610612748,Miami Heat,2,4,23,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,3,1,1,20131029,MIA,CHI
Shot Chart Detail,0021300002,340,2544,LeBron James,1610612748,Miami Heat,3,7,35,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,-24,178,1,0,20131029,MIA,CHI
Shot Chart Detail,0021300002,352,2544,LeBron James,1610612748,Miami Heat,3,6,3,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,159,206,1,0,20131029,MIA,CHI
Shot Chart Detail,0021300002,426,2544,LeBron James,1610612748,Miami Heat,3,0,21,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,9,1,0,20131029,MIA,CHI
Shot Chart Detail,0021300002,500,2544,LeBron James,1610612748,Miami Heat,4,4,31,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-8,7,1,1,20131029,MIA,CHI
Shot Chart Detail,0021300002,558,2544,LeBron James,1610612748,Miami Heat,4,1,3,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,105,138,1,1,20131029,MIA,CHI
Shot Chart Detail,0021300005,6,2544,LeBron James,1610612748,Miami Heat,1,11,9,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-164,-2,1,0,20131030,PHI,MIA
Shot Chart Detail,0021300005,38,2544,LeBron James,1610612748,Miami Heat,1,7,8,Made Shot,Fadeaway Bank shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,-92,14,1,1,20131030,PHI,MIA
Shot Chart Detail,0021300005,49,2544,LeBron James,1610612748,Miami Heat,1,6,13,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,21,11,1,1,20131030,PHI,MIA
Shot Chart Detail,0021300005,66,2544,LeBron James,1610612748,Miami Heat,1,4,14,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-228,11,1,1,20131030,PHI,MIA
Shot Chart Detail,0021300005,176,2544,LeBron James,1610612748,Miami Heat,2,4,57,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-5,15,1,1,20131030,PHI,MIA
Shot Chart Detail,0021300005,189,2544,LeBron James,1610612748,Miami Heat,2,2,49,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-8,14,1,1,20131030,PHI,MIA
Shot Chart Detail,0021300005,228,2544,LeBron James,1610612748,Miami Heat,3,11,5,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,119,222,1,1,20131030,PHI,MIA
Shot Chart Detail,0021300005,231,2544,LeBron James,1610612748,Miami Heat,3,10,19,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-18,242,1,0,20131030,PHI,MIA
Shot Chart Detail,0021300005,242,2544,LeBron James,1610612748,Miami Heat,3,9,1,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-199,164,1,1,20131030,PHI,MIA
Shot Chart Detail,0021300005,257,2544,LeBron James,1610612748,Miami Heat,3,7,47,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-150,195,1,1,20131030,PHI,MIA
Shot Chart Detail,0021300005,300,2544,LeBron James,1610612748,Miami Heat,3,3,33,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,-81,47,1,0,20131030,PHI,MIA
Shot Chart Detail,0021300005,414,2544,LeBron James,1610612748,Miami Heat,4,5,19,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-4,30,1,0,20131030,PHI,MIA
Shot Chart Detail,0021300005,418,2544,LeBron James,1610612748,Miami Heat,4,4,55,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,0,1,1,20131030,PHI,MIA
Shot Chart Detail,0021300005,439,2544,LeBron James,1610612748,Miami Heat,4,2,45,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-147,104,1,0,20131030,PHI,MIA
Shot Chart Detail,0021300005,455,2544,LeBron James,1610612748,Miami Heat,4,0,29,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-27,50,1,0,20131030,PHI,MIA
Shot Chart Detail,0021300005,473,2544,LeBron James,1610612748,Miami Heat,4,0,11,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-147,205,1,0,20131030,PHI,MIA
Shot Chart Detail,0021300005,489,2544,LeBron James,1610612748,Miami Heat,4,0,4,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,141,222,1,0,20131030,PHI,MIA
Shot Chart Detail,0021300028,6,2544,LeBron James,1610612748,Miami Heat,1,11,18,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-93,179,1,0,20131101,BKN,MIA
Shot Chart Detail,0021300028,84,2544,LeBron James,1610612748,Miami Heat,1,3,40,Missed Shot,Step Back Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-68,37,1,0,20131101,BKN,MIA
Shot Chart Detail,0021300028,88,2544,LeBron James,1610612748,Miami Heat,1,2,45,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,1,1,1,20131101,BKN,MIA
Shot Chart Detail,0021300028,107,2544,LeBron James,1610612748,Miami Heat,1,2,45,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-63,33,1,0,20131101,BKN,MIA
Shot Chart Detail,0021300028,184,2544,LeBron James,1610612748,Miami Heat,2,4,57,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,26,15,1,1,20131101,BKN,MIA
Shot Chart Detail,0021300028,186,2544,LeBron James,1610612748,Miami Heat,2,4,28,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,13,154,1,0,20131101,BKN,MIA
Shot Chart Detail,0021300028,200,2544,LeBron James,1610612748,Miami Heat,2,3,33,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,9,1,1,20131101,BKN,MIA
Shot Chart Detail,0021300028,220,2544,LeBron James,1610612748,Miami Heat,2,1,51,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-18,6,1,1,20131101,BKN,MIA
Shot Chart Detail,0021300028,289,2544,LeBron James,1610612748,Miami Heat,3,8,15,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,97,175,1,0,20131101,BKN,MIA
Shot Chart Detail,0021300028,296,2544,LeBron James,1610612748,Miami Heat,3,7,34,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-95,134,1,0,20131101,BKN,MIA
Shot Chart Detail,0021300028,336,2544,LeBron James,1610612748,Miami Heat,3,4,18,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,2,250,1,0,20131101,BKN,MIA
Shot Chart Detail,0021300028,354,2544,LeBron James,1610612748,Miami Heat,3,2,20,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,11,1,1,20131101,BKN,MIA
Shot Chart Detail,0021300028,407,2544,LeBron James,1610612748,Miami Heat,4,11,42,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,0,42,1,1,20131101,BKN,MIA
Shot Chart Detail,0021300028,455,2544,LeBron James,1610612748,Miami Heat,4,8,43,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-21,1,1,1,20131101,BKN,MIA
Shot Chart Detail,0021300028,488,2544,LeBron James,1610612748,Miami Heat,4,6,1,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-15,6,1,1,20131101,BKN,MIA
Shot Chart Detail,0021300028,493,2544,LeBron James,1610612748,Miami Heat,4,5,7,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,7,1,0,20131101,BKN,MIA
Shot Chart Detail,0021300028,514,2544,LeBron James,1610612748,Miami Heat,4,3,8,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-19,3,1,1,20131101,BKN,MIA
Shot Chart Detail,0021300028,516,2544,LeBron James,1610612748,Miami Heat,4,2,26,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,15,1,1,20131101,BKN,MIA
Shot Chart Detail,0021300028,559,2544,LeBron James,1610612748,Miami Heat,4,0,4,Made Shot,Turnaround Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-223,-16,1,1,20131101,BKN,MIA
Shot Chart Detail,0021300042,8,2544,LeBron James,1610612748,Miami Heat,1,10,52,Missed Shot,Floating Jump shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,19,1,0,20131103,MIA,WAS
Shot Chart Detail,0021300042,17,2544,LeBron James,1610612748,Miami Heat,1,9,24,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,9,1,1,20131103,MIA,WAS
Shot Chart Detail,0021300042,60,2544,LeBron James,1610612748,Miami Heat,1,4,39,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-117,211,1,1,20131103,MIA,WAS
Shot Chart Detail,0021300042,62,2544,LeBron James,1610612748,Miami Heat,1,4,12,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,23,-142,192,1,1,20131103,MIA,WAS
Shot Chart Detail,0021300042,67,2544,LeBron James,1610612748,Miami Heat,1,3,16,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,9,1,1,20131103,MIA,WAS
Shot Chart Detail,0021300042,80,2544,LeBron James,1610612748,Miami Heat,1,2,22,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,23,-177,160,1,1,20131103,MIA,WAS
Shot Chart Detail,0021300042,93,2544,LeBron James,1610612748,Miami Heat,1,0,49,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,2,157,1,0,20131103,MIA,WAS
Shot Chart Detail,0021300042,205,2544,LeBron James,1610612748,Miami Heat,2,4,32,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,245,7,1,0,20131103,MIA,WAS
Shot Chart Detail,0021300042,207,2544,LeBron James,1610612748,Miami Heat,2,4,26,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,7,1,1,20131103,MIA,WAS
Shot Chart Detail,0021300042,224,2544,LeBron James,1610612748,Miami Heat,2,2,36,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-120,148,1,0,20131103,MIA,WAS
Shot Chart Detail,0021300042,303,2544,LeBron James,1610612748,Miami Heat,3,7,50,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,3,1,1,20131103,MIA,WAS
Shot Chart Detail,0021300042,319,2544,LeBron James,1610612748,Miami Heat,3,6,19,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-175,41,1,1,20131103,MIA,WAS
Shot Chart Detail,0021300042,466,2544,LeBron James,1610612748,Miami Heat,4,4,51,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,6,1,1,20131103,MIA,WAS
Shot Chart Detail,0021300042,477,2544,LeBron James,1610612748,Miami Heat,4,3,14,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,154,205,1,0,20131103,MIA,WAS
Shot Chart Detail,0021300051,24,2544,LeBron James,1610612748,Miami Heat,1,8,50,Made Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-32,11,1,1,20131105,TOR,MIA
Shot Chart Detail,0021300051,58,2544,LeBron James,1610612748,Miami Heat,1,5,31,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,10,69,1,1,20131105,TOR,MIA
Shot Chart Detail,0021300051,60,2544,LeBron James,1610612748,Miami Heat,1,4,51,Made Shot,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,1,47,1,1,20131105,TOR,MIA
Shot Chart Detail,0021300051,69,2544,LeBron James,1610612748,Miami Heat,1,3,32,Missed Shot,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,21,61,1,0,20131105,TOR,MIA
Shot Chart Detail,0021300051,85,2544,LeBron James,1610612748,Miami Heat,1,3,0,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,21,19,1,1,20131105,TOR,MIA
Shot Chart Detail,0021300051,92,2544,LeBron James,1610612748,Miami Heat,1,2,31,Made Shot,Putback Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,7,9,1,1,20131105,TOR,MIA
Shot Chart Detail,0021300051,243,2544,LeBron James,1610612748,Miami Heat,2,1,42,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,9,1,0,20131105,TOR,MIA
Shot Chart Detail,0021300051,264,2544,LeBron James,1610612748,Miami Heat,2,0,32,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,24,14,1,1,20131105,TOR,MIA
Shot Chart Detail,0021300051,278,2544,LeBron James,1610612748,Miami Heat,3,11,40,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,28,0,1,1,20131105,TOR,MIA
Shot Chart Detail,0021300051,289,2544,LeBron James,1610612748,Miami Heat,3,9,59,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-26,11,1,1,20131105,TOR,MIA
Shot Chart Detail,0021300051,315,2544,LeBron James,1610612748,Miami Heat,3,6,20,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,230,23,1,0,20131105,TOR,MIA
Shot Chart Detail,0021300051,321,2544,LeBron James,1610612748,Miami Heat,3,5,35,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-2,15,1,1,20131105,TOR,MIA
Shot Chart Detail,0021300051,340,2544,LeBron James,1610612748,Miami Heat,3,3,40,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,7,28,1,1,20131105,TOR,MIA
Shot Chart Detail,0021300051,349,2544,LeBron James,1610612748,Miami Heat,3,3,11,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-21,19,1,0,20131105,TOR,MIA
Shot Chart Detail,0021300051,412,2544,LeBron James,1610612748,Miami Heat,4,7,47,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,14,1,1,20131105,TOR,MIA
Shot Chart Detail,0021300051,418,2544,LeBron James,1610612748,Miami Heat,4,7,20,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-29,156,1,0,20131105,TOR,MIA
Shot Chart Detail,0021300051,459,2544,LeBron James,1610612748,Miami Heat,4,4,54,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-35,241,1,1,20131105,TOR,MIA
Shot Chart Detail,0021300051,474,2544,LeBron James,1610612748,Miami Heat,4,3,27,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,23,22,1,0,20131105,TOR,MIA
Shot Chart Detail,0021300051,481,2544,LeBron James,1610612748,Miami Heat,4,2,56,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-11,254,1,0,20131105,TOR,MIA
Shot Chart Detail,0021300051,502,2544,LeBron James,1610612748,Miami Heat,4,1,44,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-19,15,1,1,20131105,TOR,MIA
Shot Chart Detail,0021300070,2,2544,LeBron James,1610612748,Miami Heat,1,11,41,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,10,53,88,1,0,20131107,MIA,LAC
Shot Chart Detail,0021300070,23,2544,LeBron James,1610612748,Miami Heat,1,9,7,Made Shot,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,15,39,1,1,20131107,MIA,LAC
Shot Chart Detail,0021300070,80,2544,LeBron James,1610612748,Miami Heat,1,3,26,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-190,170,1,1,20131107,MIA,LAC
Shot Chart Detail,0021300070,106,2544,LeBron James,1610612748,Miami Heat,1,1,26,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,1,1,1,20131107,MIA,LAC
Shot Chart Detail,0021300070,177,2544,LeBron James,1610612748,Miami Heat,2,5,39,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,-34,173,1,0,20131107,MIA,LAC
Shot Chart Detail,0021300070,235,2544,LeBron James,1610612748,Miami Heat,2,1,25,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,18,96,1,0,20131107,MIA,LAC
Shot Chart Detail,0021300070,239,2544,LeBron James,1610612748,Miami Heat,2,1,2,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,176,190,1,0,20131107,MIA,LAC
Shot Chart Detail,0021300070,264,2544,LeBron James,1610612748,Miami Heat,3,11,0,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,119,7,1,0,20131107,MIA,LAC
Shot Chart Detail,0021300070,307,2544,LeBron James,1610612748,Miami Heat,3,7,1,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,110,225,1,0,20131107,MIA,LAC
Shot Chart Detail,0021300070,338,2544,LeBron James,1610612748,Miami Heat,3,4,56,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,4,1,1,20131107,MIA,LAC
Shot Chart Detail,0021300070,351,2544,LeBron James,1610612748,Miami Heat,3,3,35,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,0,1,1,20131107,MIA,LAC
Shot Chart Detail,0021300070,462,2544,LeBron James,1610612748,Miami Heat,4,6,21,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-7,11,1,1,20131107,MIA,LAC
Shot Chart Detail,0021300070,480,2544,LeBron James,1610612748,Miami Heat,4,4,43,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,21,4,219,1,0,20131107,MIA,LAC
Shot Chart Detail,0021300089,14,2544,LeBron James,1610612748,Miami Heat,1,9,56,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,1,1,1,20131109,MIA,BOS
Shot Chart Detail,0021300089,25,2544,LeBron James,1610612748,Miami Heat,1,8,58,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,6,1,1,20131109,MIA,BOS
Shot Chart Detail,0021300089,39,2544,LeBron James,1610612748,Miami Heat,1,7,31,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,4,1,1,20131109,MIA,BOS
Shot Chart Detail,0021300089,52,2544,LeBron James,1610612748,Miami Heat,1,6,21,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,12,134,1,0,20131109,MIA,BOS
Shot Chart Detail,0021300089,76,2544,LeBron James,1610612748,Miami Heat,1,4,13,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,67,58,1,1,20131109,MIA,BOS
Shot Chart Detail,0021300089,234,2544,LeBron James,1610612748,Miami Heat,2,3,0,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,2,186,1,1,20131109,MIA,BOS
Shot Chart Detail,0021300089,336,2544,LeBron James,1610612748,Miami Heat,3,4,41,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-41,15,1,0,20131109,MIA,BOS
Shot Chart Detail,0021300089,449,2544,LeBron James,1610612748,Miami Heat,4,6,29,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,21,4,1,1,20131109,MIA,BOS
Shot Chart Detail,0021300089,467,2544,LeBron James,1610612748,Miami Heat,4,5,11,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,10,64,1,0,20131109,MIA,BOS
Shot Chart Detail,0021300089,471,2544,LeBron James,1610612748,Miami Heat,4,4,58,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,3,1,1,20131109,MIA,BOS
Shot Chart Detail,0021300089,490,2544,LeBron James,1610612748,Miami Heat,4,2,38,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,11,-70,93,1,1,20131109,MIA,BOS
Shot Chart Detail,0021300089,494,2544,LeBron James,1610612748,Miami Heat,4,1,39,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,86,183,1,1,20131109,MIA,BOS
Shot Chart Detail,0021300089,498,2544,LeBron James,1610612748,Miami Heat,4,0,50,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-108,126,1,0,20131109,MIA,BOS
Shot Chart Detail,0021300107,2,2544,LeBron James,1610612748,Miami Heat,1,11,39,Missed Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,12,1,0,20131112,MIA,MIL
Shot Chart Detail,0021300107,9,2544,LeBron James,1610612748,Miami Heat,1,10,35,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,9,63,1,0,20131112,MIA,MIL
Shot Chart Detail,0021300107,20,2544,LeBron James,1610612748,Miami Heat,1,9,22,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-16,19,1,1,20131112,MIA,MIL
Shot Chart Detail,0021300107,34,2544,LeBron James,1610612748,Miami Heat,1,8,28,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,18,6,1,1,20131112,MIA,MIL
Shot Chart Detail,0021300107,44,2544,LeBron James,1610612748,Miami Heat,1,7,19,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-27,22,1,1,20131112,MIA,MIL
Shot Chart Detail,0021300107,85,2544,LeBron James,1610612748,Miami Heat,1,4,20,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-78,17,1,1,20131112,MIA,MIL
Shot Chart Detail,0021300107,125,2544,LeBron James,1610612748,Miami Heat,1,2,9,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,64,156,1,0,20131112,MIA,MIL
Shot Chart Detail,0021300107,211,2544,LeBron James,1610612748,Miami Heat,2,6,44,Made Shot,Running Bank shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,42,45,1,1,20131112,MIA,MIL
Shot Chart Detail,0021300107,263,2544,LeBron James,1610612748,Miami Heat,2,1,7,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,51,61,1,1,20131112,MIA,MIL
Shot Chart Detail,0021300107,272,2544,LeBron James,1610612748,Miami Heat,2,0,40,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,7,17,1,0,20131112,MIA,MIL
Shot Chart Detail,0021300107,275,2544,LeBron James,1610612748,Miami Heat,2,0,32,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,9,1,1,20131112,MIA,MIL
Shot Chart Detail,0021300107,278,2544,LeBron James,1610612748,Miami Heat,2,0,0,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-112,160,1,0,20131112,MIA,MIL
Shot Chart Detail,0021300107,317,2544,LeBron James,1610612748,Miami Heat,3,7,46,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-11,257,1,1,20131112,MIA,MIL
